% Features of derived words to root letter 3
%
@RELATION rootL3

@ATTRIBUTE length	NUMERIC
@ATTRIBUTE isLetter3InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter4InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter5InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter6InCorrespondingGroup	NUMERIC
@ATTRIBUTE isLetter7InCorrespondingGroup	NUMERIC
@ATTRIBUTE WhatLetter3Haraka	NUMERIC
@ATTRIBUTE WhatLetter4Haraka	NUMERIC
@ATTRIBUTE WhatLetter5Haraka	NUMERIC
@ATTRIBUTE WhatLetter6Haraka	NUMERIC
@ATTRIBUTE WhatLetter7Haraka	NUMERIC
@ATTRIBUTE isLetter3Vowel	NUMERIC
@ATTRIBUTE isLetter4Vowel	NUMERIC
@ATTRIBUTE isLetter5Vowel	NUMERIC
@ATTRIBUTE isLetter6Vowel	NUMERIC
@ATTRIBUTE isLetter7Vowel	NUMERIC
@ATTRIBUTE isLetter3Hamza	NUMERIC
@ATTRIBUTE isLetter4Hamza	NUMERIC
@ATTRIBUTE isLetter5Hamza	NUMERIC
@ATTRIBUTE isLetter6Hamza	NUMERIC
@ATTRIBUTE isLetter7Hamza	NUMERIC
@ATTRIBUTE rootL1Position	NUMERIC
@ATTRIBUTE rootL2Position	NUMERIC
@ATTRIBUTE position	{pos0,pos3,pos4,pos5,pos6,pos7}

@DATA
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,3,pos0
5,1,1,1,-1,-1,4,1,0,0,0,1,1,0,-1,-1,0,0,0,-1,-1,1,2,pos0
4,1,1,-1,-1,-1,4,0,0,0,0,1,1,-1,-1,-1,0,0,-1,-1,-1,1,2,pos0
5,1,1,1,-1,-1,0,1,0,0,0,1,1,0,-1,-1,0,0,0,-1,-1,1,2,pos3
7,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,5,pos6
5,0,1,1,-1,-1,2,1,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos0
5,0,0,0,-1,-1,4,2,0,0,0,0,0,1,-1,-1,0,0,0,-1,-1,2,3,pos0
5,1,0,1,-1,-1,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,1,2,pos4
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
4,1,0,-1,-1,-1,4,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
6,1,0,1,0,-1,2,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,2,4,pos4
7,1,0,0,1,0,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,pos5
5,0,1,0,-1,-1,2,4,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos3
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos3
3,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
6,1,0,1,0,-1,2,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,2,4,pos6
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
5,0,1,0,-1,-1,2,4,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos5
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
5,1,0,1,-1,-1,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,1,2,pos4
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
6,1,0,1,0,-1,2,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,2,4,pos6
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
5,0,1,0,-1,-1,2,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos5
4,0,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,-1,0,0,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
5,0,1,0,-1,-1,2,4,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos5
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
5,0,1,0,-1,-1,2,4,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos5
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
6,1,0,1,0,-1,2,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,2,4,pos6
7,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,pos7
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
5,0,0,0,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
5,1,0,1,-1,-1,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,1,2,pos4
4,0,1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,0,1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos3
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
4,1,0,-1,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos4
4,0,1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,1,2,pos3
5,0,1,0,-1,-1,0,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,1,3,pos5
5,1,0,1,-1,-1,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,1,2,pos4
6,1,0,1,0,-1,2,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,2,4,pos6
5,0,1,0,-1,-1,2,4,0,0,0,0,1,0,-1,-1,0,0,0,-1,-1,2,3,pos5
3,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,2,pos3
5,0,0,1,-1,-1,4,3,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,2,3,pos5
